User_ID	Reply Frequency	Retweet Frequency	Mention Frequency
115707779	12	30	57
484151195	3	2	8
2910818506	15	37	69
4076935702	1	3	4
123970800	102	3	74
2228883166	1	3	4
15463671	4	66	89
14062859	1	2	3
254117355	1	25	187
3214475819	3	16	21
15693493	2	34	42
910908949	1	3	4
2569349341	2	1	3
38495835	2	111	304
348007190	1	3	4
17350250	1	1	4
1053271752	1	21	26
14613514	1	4	8
1272319310	1	2	3
1712939281	1	1	2
25365536	65	48	193
38343314	1	2	4
246515294	2	5	8
1075034635	1	1	2
517967040	1	3	5
82299300	645	1869	4286
394664265	2	39	52
14964429	2	7	12
3295930416	3	11	17
3193944696	2	19	39
46346261	1	1	2
419911021	1	8	10
2862379845	16	16	33
17078632	6	36	81
191302528	1	1	5
358118086	2	1	6
253122900	7	50	65
494041343	4	121	173
506033683	1	60	62
707320403253796864	1	1	2
3316205113	1	1	2
1020857448	3	374	440
4710392767	1	1	2
3031787895	2	27	35
370352314	2	6	10
169090363	9	1	64
9620532	4	1	7
2353488620	4	2	6
3271255423	2	60	160
86802853	10	15	40
27782837	1	8	10
1030605984	1	1	2
534147298	4	2	6
483222437	4	1	5
2410530728	1	2	3
218468492	1	1	2
344811256	5	12	65
1049762580	1	1	3
1338047336	1	67	171
707201141658943488	1	1	2
1216957579	1	8	13
709416264024854528	1	4	5
2721777926	2	118	138
437083725	5	511	520
2509478256	319	14	333
111225697	1	30	134
972909709	11	294	368
158541359	170	8	276
394840322	2	6	9
26465563	1	1	2
83039463	2	76	105
28487370	1	1	3
485955028	499	3110	3849
116252479	1	58	100
234789656	1	4	5
36048950	2	71	75
1655336869	1	2	3
3148030613	1	1	4
4381493479	1	1	3
1180379185	10	44	295
196168350	24	641	1142
50462319	4	36	41
127111907	1	5	7
3303205432	1	6	9
16585101	1	250	322
969879222	2	1	3
323303085	4	24	46
359924296	1	1	3
63112528	2	80	118
17807189	1	8	10
146979092	1	1	3
2535190081	1083	52	1135
18424289	8	94	128
1487846678	21	2	96
2320446493	2	3	5
14451605	1	2	3
413541046	1	1	6
100907167	1	6	7
88242468	105	26	163
1684155818	7	5	18
